naics,naics_title,short_title,short_label,full_label,match_level,avg_baseline_productivity,avg_scenario_productivity,avg_baseline_revenue,avg_scenario_revenue,prod_change,prod_pct_change,revenue_change,revenue_pct_change
311111,Dog and Cat Food Manufacturing,Dog & Cat Food Mfg,311111 | Dog & Cat Food Mfg,311111 - Dog and Cat Food Manufacturing,exact,391.46753,391.46753,887.0999,887.0999,0.0,0.0,0.0,0.0
311119,Other Animal Food Manufacturing,Other Animal Food Mfg,311119 | Other Animal Food Mfg,311119 - Other Animal Food Manufacturing,exact,292.8239,292.8239,1222.7357,1222.7357,0.0,0.0,0.0,0.0
311211,Flour Milling,Flour Milling,311211 | Flour Milling,311211 - Flour Milling,exact,439.37924,439.37924,1204.3508,1204.3508,0.0,0.0,0.0,0.0
311212,Rice Milling,Rice Milling,311212 | Rice Milling,311212 - Rice Milling,exact,236.98357,236.98357,650.1509,650.1509,0.0,0.0,0.0,0.0
311213,Malt Manufacturing,Malt Mfg,311213 | Malt Mfg,311213 - Malt Manufacturing,exact,505.87958,505.87958,1484.2961,1484.2961,0.0,0.0,0.0,0.0
311221,Wet Corn Milling and Starch Manufacturing,Wet Corn Milling & Starch Mfg,311221 | Wet Corn Milling & Starch Mfg,311221 - Wet Corn Milling and Starch Manufacturing,exact,1174.789,1174.789,1450.2683,1450.2683,0.0,0.0,0.0,0.0
311224,Soybean and Other Oilseed Processing,Soybean & Other Oilseed Proc,311224 | Soybean & Other Oilseed Proc,311224 - Soybean and Other Oilseed Processing,exact,976.22815,976.22815,4644.915,4644.915,0.0,0.0,0.0,0.0
311225,Fats and Oils Refining and Blending,Fats & Oils Refining & Blending,311225 | Fats & Oils Refining & Blending,311225 - Fats and Oils Refining and Blending,exact,378.99686,378.99686,1558.8192,1558.8192,0.0,0.0,0.0,0.0
311230,Breakfast Cereal Manufacturing,Breakfast Cereal Mfg,311230 | Breakfast Cereal Mfg,311230 - Breakfast Cereal Manufacturing,exact,323.57648,323.57648,817.3235,817.3235,0.0,0.0,0.0,0.0
311313,Beet Sugar Manufacturing,Beet Sugar Mfg,311313 | Beet Sugar Mfg,311313 - Beet Sugar Manufacturing,exact,253.5348,253.5348,535.8976,535.8976,0.0,0.0,0.0,0.0
311314,Cane Sugar Manufacturing,Cane Sugar Mfg,311314 | Cane Sugar Mfg,311314 - Cane Sugar Manufacturing,exact,288.0891,288.0891,856.86835,856.86835,0.0,0.0,0.0,0.0
311340,Nonchocolate Confectionery Manufacturing,Nonchocolate Confectionery Mfg,311340 | Nonchocolate Confectionery Mfg,311340 - Nonchocolate Confectionery Manufacturing,exact,214.67838,214.67838,400.028,400.028,0.0,0.0,0.0,0.0
