naics,naics_title,short_title,short_label,full_label,match_level,avg_baseline_productivity,avg_scenario_productivity,avg_baseline_revenue,avg_scenario_revenue,prod_change,prod_pct_change,revenue_change,revenue_pct_change
311111,Dog and Cat Food Manufacturing,Dog & Cat Food Mfg,311111 | Dog & Cat Food Mfg,311111 - Dog and Cat Food Manufacturing,exact,385.57532,385.57532,876.7425,876.7425,0.0,0.0,0.0,0.0
311119,Other Animal Food Manufacturing,Other Animal Food Mfg,311119 | Other Animal Food Mfg,311119 - Other Animal Food Manufacturing,exact,304.4425,304.4425,1198.7488,1198.7488,0.0,0.0,0.0,0.0
311211,Flour Milling,Flour Milling,311211 | Flour Milling,311211 - Flour Milling,exact,455.75244,455.75244,1220.6411,1220.6411,0.0,0.0,0.0,0.0
311212,Rice Milling,Rice Milling,311212 | Rice Milling,311212 - Rice Milling,exact,229.31715,229.31715,642.62256,642.62256,0.0,0.0,0.0,0.0
311213,Malt Manufacturing,Malt Mfg,311213 | Malt Mfg,311213 - Malt Manufacturing,exact,484.66376,484.66376,1427.7842,1427.7842,0.0,0.0,0.0,0.0
311221,Wet Corn Milling and Starch Manufacturing,Wet Corn Milling & Starch Mfg,311221 | Wet Corn Milling & Starch Mfg,311221 - Wet Corn Milling and Starch Manufacturing,exact,1161.9846,1161.9846,1394.4944,1394.4944,0.0,0.0,0.0,0.0
311224,Soybean and Other Oilseed Processing,Soybean & Other Oilseed Proc,311224 | Soybean & Other Oilseed Proc,311224 - Soybean and Other Oilseed Processing,exact,961.59375,961.59375,4601.54,4598.7666,0.0,0.0,-2.7734375,-0.060271945
311225,Fats and Oils Refining and Blending,Fats & Oils Refining & Blending,311225 | Fats & Oils Refining & Blending,311225 - Fats and Oils Refining and Blending,exact,396.218,396.218,1534.029,1534.029,0.0,0.0,0.0,0.0
311230,Breakfast Cereal Manufacturing,Breakfast Cereal Mfg,311230 | Breakfast Cereal Mfg,311230 - Breakfast Cereal Manufacturing,exact,319.70557,319.70557,820.36304,820.36304,0.0,0.0,0.0,0.0
311313,Beet Sugar Manufacturing,Beet Sugar Mfg,311313 | Beet Sugar Mfg,311313 - Beet Sugar Manufacturing,exact,257.3763,257.3763,563.53015,563.53015,0.0,0.0,0.0,0.0
311314,Cane Sugar Manufacturing,Cane Sugar Mfg,311314 | Cane Sugar Mfg,311314 - Cane Sugar Manufacturing,exact,304.61035,304.61035,865.6769,865.6769,0.0,0.0,0.0,0.0
311340,Nonchocolate Confectionery Manufacturing,Nonchocolate Confectionery Mfg,311340 | Nonchocolate Confectionery Mfg,311340 - Nonchocolate Confectionery Manufacturing,exact,205.20627,205.20627,395.1831,395.1831,0.0,0.0,0.0,0.0
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,Chocolate & Confectionery Mfg from Ca...,311351 | Chocolate & Confectionery Mfg from Ca...,311351 - Chocolate and Confectionery Manufacturing from Cacao Beans,exact,261.64737,261.64737,827.3729,827.3729,0.0,0.0,0.0,0.0
311352,Confectionery Manufacturing from Purchased Chocolate,Confectionery Mfg from Purchased Choc...,311352 | Confectionery Mfg from Purchased Choc...,311352 - Confectionery Manufacturing from Purchased Chocolate,exact,174.66748,174.66748,381.49673,381.49673,0.0,0.0,0.0,0.0
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Frozen Fruit, Juice, & Vegetable Mfg","311411 | Frozen Fruit, Juice, & Vegetable Mfg","311411 - Frozen Fruit, Juice, and Vegetable Manufacturing",exact,172.95343,172.95343,389.53265,389.53265,0.0,0.0,0.0,0.0
311412,Frozen Specialty Food Manufacturing,Frozen Specialty Food Mfg,311412 | Frozen Specialty Food Mfg,311412 - Frozen Specialty Food Manufacturing,exact,173.8865,173.8865,392.00806,392.00806,0.0,0.0,0.0,0.0
311421,Fruit and Vegetable Canning,Fruit & Vegetable Canning,311421 | Fruit & Vegetable Canning,311421 - Fruit and Vegetable Canning,exact,213.97247,213.97247,520.3934,520.3934,0.0,0.0,0.0,0.0
311422,Specialty Canning,Specialty Canning,311422 | Specialty Canning,311422 - Specialty Canning,exact,410.8957,410.8957,770.1824,770.1824,0.0,0.0,0.0,0.0
311423,Dried and Dehydrated Food Manufacturing,Dried & Dehydrated Food Mfg,311423 | Dried & Dehydrated Food Mfg,311423 - Dried and Dehydrated Food Manufacturing,exact,202.14706,202.14706,407.87228,407.87228,0.0,0.0,0.0,0.0
311511,Fluid Milk Manufacturing,Fluid Milk Mfg,311511 | Fluid Milk Mfg,311511 - Fluid Milk Manufacturing,exact,238.91,238.91,704.70886,704.70886,0.0,0.0,0.0,0.0
311512,Creamery Butter Manufacturing,Creamery Butter Mfg,311512 | Creamery Butter Mfg,311512 - Creamery Butter Manufacturing,exact,215.53503,215.53503,1698.4236,1698.4236,0.0,0.0,0.0,0.0
311513,Cheese Manufacturing,Cheese Mfg,311513 | Cheese Mfg,311513 - Cheese Manufacturing,exact,212.56313,212.56313,904.5575,904.5575,0.0,0.0,0.0,0.0
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing","Dry, Condensed, & Evaporated Dairy Pr...","311514 | Dry, Condensed, & Evaporated Dairy Pr...","311514 - Dry, Condensed, and Evaporated Dairy Product Manufacturing",exact,516.58826,516.58826,920.85455,920.85455,0.0,0.0,0.0,0.0
311520,Ice Cream and Frozen Dessert Manufacturing,Ice Cream & Frozen Dessert Mfg,311520 | Ice Cream & Frozen Dessert Mfg,311520 - Ice Cream and Frozen Dessert Manufacturing,exact,213.57135,213.57135,475.84912,475.84912,0.0,0.0,0.0,0.0
311611,Animal (except Poultry) Slaughtering,Animal (except Poultry) Slaughtering,311611 | Animal (except Poultry) Slaughtering,311611 - Animal (except Poultry) Slaughtering,exact,137.67969,137.67969,636.75916,636.75916,0.0,0.0,0.0,0.0
311612,Meat Processed from Carcasses,Meat Processed from Carcasses,311612 | Meat Processed from Carcasses,311612 - Meat Processed from Carcasses,exact,161.02853,161.02853,463.19574,463.19574,0.0,0.0,0.0,0.0
311613,Rendering and Meat Byproduct Processing,Rendering & Meat Byproduct Proc,311613 | Rendering & Meat Byproduct Proc,311613 - Rendering and Meat Byproduct Processing,exact,227.45247,227.45247,458.37024,458.37024,0.0,0.0,0.0,0.0
311615,Poultry Processing,Poultry Proc,311615 | Poultry Proc,311615 - Poultry Processing,exact,112.033585,112.033585,278.935,278.935,0.0,0.0,0.0,0.0
311710,Seafood Product Preparation and Packaging,Seafood Prod Prep & Pkg,311710 | Seafood Prod Prep & Pkg,311710 - Seafood Product Preparation and Packaging,exact,188.47137,188.47137,456.91745,456.91745,0.0,0.0,0.0,0.0
311811,Retail Bakeries,Retail Bakeries,311811 | Retail Bakeries,311811 - Retail Bakeries,exact,77.72781,77.72781,102.75826,102.75826,0.0,0.0,0.0,0.0
311812,Commercial Bakeries,Commercial Bakeries,311812 | Commercial Bakeries,311812 - Commercial Bakeries,exact,208.46214,208.46214,358.54034,358.54034,0.0,0.0,0.0,0.0
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing","Frozen Cakes, Pies, & Other Pastries Mfg","311813 | Frozen Cakes, Pies, & Other Pastries Mfg","311813 - Frozen Cakes, Pies, and Other Pastries Manufacturing",exact,135.85904,135.85904,273.6959,273.6959,0.0,0.0,0.0,0.0
311821,Cookie and Cracker Manufacturing,Cookie & Cracker Mfg,311821 | Cookie & Cracker Mfg,311821 - Cookie and Cracker Manufacturing,exact,181.29759,181.29759,334.76193,334.76193,0.0,0.0,0.0,0.0
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour","Dry Pasta, Dough, & Flour Mixes Mfg f...","311824 | Dry Pasta, Dough, & Flour Mixes Mfg f...","311824 - Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",exact,193.5336,193.5336,559.7235,559.7235,0.0,0.0,0.0,0.0
311830,Tortilla Manufacturing,Tortilla Mfg,311830 | Tortilla Mfg,311830 - Tortilla Manufacturing,exact,135.16028,135.16028,240.5722,240.5722,0.0,0.0,0.0,0.0
311911,Roasted Nuts and Peanut Butter Manufacturing,Roasted Nuts & Peanut Butter Mfg,311911 | Roasted Nuts & Peanut Butter Mfg,311911 - Roasted Nuts and Peanut Butter Manufacturing,exact,193.26149,193.26149,680.6626,680.6626,0.0,0.0,0.0,0.0
311919,Other Snack Food Manufacturing,Other Snack Food Mfg,311919 | Other Snack Food Mfg,311919 - Other Snack Food Manufacturing,exact,311.9975,311.9975,511.09592,511.09592,0.0,0.0,0.0,0.0
311920,Coffee and Tea Manufacturing,Coffee & Tea Mfg,311920 | Coffee & Tea Mfg,311920 - Coffee and Tea Manufacturing,exact,295.45618,295.45618,838.3624,838.3624,0.0,0.0,0.0,0.0
