naics,naics_title,short_title,short_label,full_label,match_level,avg_future_productivity,avg_future_revenue
324110,Petroleum Refineries,Petroleum Refineries,324110 | Petroleum Refineries,324110 - Petroleum Refineries,exact,1064.7095,6016.7144
325110,Petrochemical Manufacturing,Petrochemical Mfg,325110 | Petrochemical Mfg,325110 - Petrochemical Manufacturing,exact,2912.421,5442.865
311224,Soybean and Other Oilseed Processing,Soybean & Other Oilseed Proc,311224 | Soybean & Other Oilseed Proc,311224 - Soybean and Other Oilseed Processing,exact,1007.7212,4645.8154
312230,Tobacco Manufacturing,Tobacco Mfg,312230 | Tobacco Mfg,312230 - Tobacco Manufacturing,exact,2546.8945,3117.6833
325193,Ethyl Alcohol Manufacturing,Ethyl Alcohol Mfg,325193 | Ethyl Alcohol Mfg,325193 - Ethyl Alcohol Manufacturing,exact,662.3438,2794.9375
336112,Automobile and Light Duty Motor Vehicle ManufacturingT,Automobile & Light Duty Motor Vehicle...,336112 | Automobile & Light Duty Motor Vehicle...,336112 - Automobile and Light Duty Motor Vehicle ManufacturingT,prefix_5_digit,531.9486,2180.2178
311512,Creamery Butter Manufacturing,Creamery Butter Mfg,311512 | Creamery Butter Mfg,311512 - Creamery Butter Manufacturing,exact,203.3507,1748.5634
311213,Malt Manufacturing,Malt Mfg,311213 | Malt Mfg,311213 - Malt Manufacturing,exact,546.3862,1595.4119
336111,Automobile and Light Duty Motor Vehicle ManufacturingT,Automobile & Light Duty Motor Vehicle...,336111 | Automobile & Light Duty Motor Vehicle...,336111 - Automobile and Light Duty Motor Vehicle ManufacturingT,prefix_5_digit,350.23965,1574.9094
311225,Fats and Oils Refining and Blending,Fats & Oils Refining & Blending,311225 | Fats & Oils Refining & Blending,311225 - Fats and Oils Refining and Blending,exact,387.81143,1547.1774
324191,Petroleum Lubricating Oil and Grease Manufacturing,Petroleum Lubricating Oil & Grease Mfg,324191 | Petroleum Lubricating Oil & Grease Mfg,324191 - Petroleum Lubricating Oil and Grease Manufacturing,exact,512.3032,1455.415
325320,Pesticide and Other Agricultural Chemical Manufacturing,Pesticide & Other Agricultural Chem Mfg,325320 | Pesticide & Other Agricultural Chem Mfg,325320 - Pesticide and Other Agricultural Chemical Manufacturing,exact,620.5561,1377.1403
325199,All Other Basic Organic Chemical Manufacturing,All Other Basic Organic Chem Mfg,325199 | All Other Basic Organic Chem Mfg,325199 - All Other Basic Organic Chemical Manufacturing,exact,556.23645,1338.2379
311930,Flavoring Syrup and Concentrate Manufacturing,Flavoring Syrup & Concentrate Mfg,311930 | Flavoring Syrup & Concentrate Mfg,311930 - Flavoring Syrup and Concentrate Manufacturing,exact,1025.4512,1323.7865
311221,Wet Corn Milling and Starch Manufacturing,Wet Corn Milling & Starch Mfg,311221 | Wet Corn Milling & Starch Mfg,311221 - Wet Corn Milling and Starch Manufacturing,exact,655.3956,1278.3103
