naics,naics_title,short_label,prod_pct_change,revenue_pct_change,productivity_explanation,revenue_explanation
324110,Petroleum Refineries,324110 | Petroleum Refineries,0.31471428,-0.22823215,"High predicted productivity gain; model most influenced by: cap_labor_ratio, cap, prodh, emp, plant","Projected revenue response mainly associated with: cap_labor_ratio, matcost, emp, invest, prodh"
325311,Nitrogenous Fertilizer Manufacturing,325311 | Nitrogenous Fertilizer Mfg,0.22452416,-1.0863642,"High predicted productivity gain; model most influenced by: cap_labor_ratio, cap, prodh, emp, plant","Projected revenue response mainly associated with: cap_labor_ratio, matcost, emp, invest, prodh"
325110,Petrochemical Manufacturing,325110 | Petrochemical Mfg,0.077141404,-0.27128452,"High predicted productivity gain; model most influenced by: cap_labor_ratio, cap, prodh, emp, plant","Projected revenue response mainly associated with: cap_labor_ratio, matcost, emp, invest, prodh"
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing","333514 | Special Die & Tool, Die Set, Jig, & F...",0.0,0.0,"High predicted productivity gain; model most influenced by: cap_labor_ratio, cap, prodh, emp, plant","Projected revenue response mainly associated with: cap_labor_ratio, matcost, emp, invest, prodh"
333911,Pump and Compressor ManufacturingT,333911 | Pump & Compressor MfgT,0.0,0.0,"High predicted productivity gain; model most influenced by: cap_labor_ratio, cap, prodh, emp, plant","Projected revenue response mainly associated with: cap_labor_ratio, matcost, emp, invest, prodh"
333618,Other Engine Equipment Manufacturing,333618 | Other Engine Equip Mfg,0.0,0.0,"High predicted productivity gain; model most influenced by: cap_labor_ratio, cap, prodh, emp, plant","Projected revenue response mainly associated with: cap_labor_ratio, matcost, emp, invest, prodh"
333613,Mechanical Power Transmission Equipment Manufacturing,333613 | Mechanical Power Transmission Equip Mfg,0.0,0.0,"High predicted productivity gain; model most influenced by: cap_labor_ratio, cap, prodh, emp, plant","Projected revenue response mainly associated with: cap_labor_ratio, matcost, emp, invest, prodh"
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing","333612 | Speed Changer, Industrial High-Speed ...",0.0,0.0,"High predicted productivity gain; model most influenced by: cap_labor_ratio, cap, prodh, emp, plant","Projected revenue response mainly associated with: cap_labor_ratio, matcost, emp, invest, prodh"
333611,Turbine and Turbine Generator Set Units Manufacturing,333611 | Turbine & Turbine Generator Set Units...,0.0,0.0,"High predicted productivity gain; model most influenced by: cap_labor_ratio, cap, prodh, emp, plant","Projected revenue response mainly associated with: cap_labor_ratio, matcost, emp, invest, prodh"
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,333519 | Rolling Mill & Other Metalworking Mac...,0.0,0.0,"High predicted productivity gain; model most influenced by: cap_labor_ratio, cap, prodh, emp, plant","Projected revenue response mainly associated with: cap_labor_ratio, matcost, emp, invest, prodh"
333517,Machine Tool Manufacturing,333517 | Machine Tool Mfg,0.0,0.0,"High predicted productivity gain; model most influenced by: cap_labor_ratio, cap, prodh, emp, plant","Projected revenue response mainly associated with: cap_labor_ratio, matcost, emp, invest, prodh"
333515,Cutting Tool and Machine Tool Accessory Manufacturing,333515 | Cutting Tool & Machine Tool Accessory...,0.0,0.0,"High predicted productivity gain; model most influenced by: cap_labor_ratio, cap, prodh, emp, plant","Projected revenue response mainly associated with: cap_labor_ratio, matcost, emp, invest, prodh"
311111,Dog and Cat Food Manufacturing,311111 | Dog & Cat Food Mfg,0.0,0.0,"High predicted productivity gain; model most influenced by: cap_labor_ratio, cap, prodh, emp, plant","Projected revenue response mainly associated with: cap_labor_ratio, matcost, emp, invest, prodh"
333912,Air and Gas Compressor Manufacturing,333912 | Air & Gas Compressor Mfg,0.0,0.0,"High predicted productivity gain; model most influenced by: cap_labor_ratio, cap, prodh, emp, plant","Projected revenue response mainly associated with: cap_labor_ratio, matcost, emp, invest, prodh"
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,333415 | Air-Conditioning & Warm Air Heating E...,0.0,0.0,"High predicted productivity gain; model most influenced by: cap_labor_ratio, cap, prodh, emp, plant","Projected revenue response mainly associated with: cap_labor_ratio, matcost, emp, invest, prodh"
