Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
United States,USA,"International tourism, number of arrivals",ST.INT.ARVL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79732000,82756000,82525000,74767000,75796000,78343000,70975000,64434000,62082000,67606000,71484000,183178000,175299000,175703000,160508000,162275000,147271421.875,171629890.625,179309906.25,178311359.375,176864531.25,175261484.375,174291750,169324921.875,165478000,45037000,..,..,..,..
United States,USA,"International tourism, number of departures",ST.INT.DPRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74031000,76803000,78481000,82758000,84540000,87973000,84755000,80883000,75880000,79655000,79215000,148511000,140364000,136148000,129954000,121574000,114089000,116329000,118968000,121699000,130364000,141526000,148045000,158445406.25,170930093.75,60549898.4375,..,..,..,..
United States,USA,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.8005229123474,12.0000751501829,11.4555052709643,11.2619925566582,11.1813263616451,10.9252217529332,10.3858320759846,9.878865626537,9.22153708494622,9.17798755437151,9.03456894509201,8.26712732523629,8.11651656931463,8.06094775906366,8.60823913791415,8.64278832082482,8.34757757669965,8.68151636541454,9.21286537167917,9.30973793087307,10.1094096508835,10.199328461316,9.76238234904741,9.50977410042199,9.37501957639807,3.87533930216739,..,..,..,..
United States,USA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93743000000,102196000000,107047000000,105095000000,109188000000,118316000000,105454000000,97415000000,94814000000,107210000000,116682000000,121030000000,134800000000,149094000000,137111000000,161821000000,178935000000,195113000000,213105000000,222746000000,230574000000,228549000000,233758000000,241984000000,239447000000,84205000000,..,..,..,..
United States,USA,"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18909000000,20424000000,20872000000,20094000000,20043000000,21445000000,19046000000,17790000000,17833000000,21562000000,23259000000,24881000000,27881000000,32065000000,26357000000,31506000000,36738000000,41192000000,42124000000,42482000000,37972000000,35683000000,37290000000,41262000000,40082000000,11393000000,..,..,..,..
United States,USA,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74834000000,81772000000,86175000000,85001000000,89145000000,96871000000,86408000000,79625000000,76981000000,85648000000,93423000000,96149000000,106919000000,117029000000,110754000000,130315000000,142197000000,153921000000,170981000000,180264000000,192602000000,192866000000,196468000000,200722000000,199365000000,72812000000,..,..,..,..
United States,USA,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14663000000,15805000000,18140000000,19972000000,18396000000,21316000000,21660000000,20345000000,20464000000,23011000000,24583000000,27029000000,30323000000,34817000000,32613000000,38666000000,43983000000,47827000000,41205000000,43980000000,42003000000,38484000000,40358000000,50678000000,52794000000,13031000000,..,..,..,..
United States,USA,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46379000000,49672000000,53808000000,58451000000,58864000000,64174000000,60525000000,59017000000,61244000000,70332000000,74111000000,78374000000,82605000000,84318000000,82510000000,85165000000,86623000000,90340000000,91117000000,96248000000,102666000000,109156000000,117929000000,126140000000,133285000000,35806000000,..,..,..,..
United States,USA,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61042000000,65477000000,71948000000,78423000000,77260000000,85490000000,82185000000,79362000000,81708000000,93343000000,98694000000,105403000000,112928000000,119135000000,115123000000,123831000000,130606000000,138167000000,132322000000,140228000000,144669000000,147640000000,158287000000,176818000000,186079000000,48837000000,..,..,..,..
United States,USA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.8526152243417,6.85147379358623,6.89985202546735,7.13381903061275,6.26940423618921,5.8851024781589,5.97388890463802,5.64147001516249,5.35990149767356,5.24707215588486,4.91493459054413,4.73184576238011,4.761256272106,4.65019422811499,5.79215694364014,5.2130544640444,4.84071409483732,4.98193526985317,4.79430836661557,4.87484373718089,5.21976981186401,5.42737249957266,5.43677775594797,5.66347157245911,5.97677499094229,1.73249352137459,..,..,..,..
