REF_AREA,Reference area,ACTIVITY,Economic activity,TIME_PERIOD,OBS_VALUE
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2021,19376.642
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2020,17461.614
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2019,18187.151
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2018,17762.712
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2017,16960.034
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2016,16615.17
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2015,18181.376
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2014,17809.128
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2013,17285.986
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2012,16038.763
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2011,14618.783
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2010,14473.777
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2009,14083.978
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2008,13538.32
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2007,11647.885
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2006,10611.165
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2005,8830.792
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2004,8622.845
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2003,8911.377
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2002,8531.783
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2001,8839.913
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,2000,8682.103
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,1999,8541.535
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,1998,8018.759
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,1997,8497.751
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,1996,8438.827
USA,United States,C10T12,Manufacture of food products; beverages and tobacco products,1995,8999.791
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2022,6593.145
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2021,7010.481
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2020,6128.609
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2019,6594.19
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2018,7641.788
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2017,6012.866
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2016,7424.482
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2015,7861.096
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2014,7962.132
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2013,7802.156
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2012,6179.363
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2011,7438.841
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2010,6760.992
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2009,5548.481
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2008,6872.538
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2007,5753.345
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2006,5883.489
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2005,5709.661
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2004,5746.616
USA,United States,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2003,4998.575
