naics,year,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4
311111,1958,18,81.3,12,25.7,49.8,1042.4,752.4,266.9,17.8,59.5,7,1212.7,517.6,695,0.354000002,0.133000001,0.167999998,0.115999997,,0.317000002,,0.317999989
311111,1959,17.9,82.5,11.8,25.5,49.4,1051,758.9,268.7,18.3,65.2,7.7,1299,573.7,725.3,0.344999999,0.130999997,0.169,0.115000002,0.002,0.317999989,0.002,0.317999989
311111,1960,17.7,84.8,11.7,25.4,50,1050.2,752.8,269.9,16.1,58.2,8.5,1350.7,611.6,739.2,0.273999989,0.128999993,0.172999993,0.119000003,0.216999993,0.393999994,0.216000006,0.395000011
311111,1961,17.5,87.4,11.5,25.4,51.4,1119.7,803.6,287.8,14.5,58.1,9.3,1394.4,642.6,752,0.273000002,0.130999997,0.172000006,0.116999999,0.024,0.404000014,0.024,0.405000001
311111,1962,17.6,90.2,11.5,25.2,52.1,1175.7,853.3,294.5,18.4,61.9,10.1,1437.8,669.1,768.7,0.27700001,0.131999999,0.173999995,0.119000003,-0.007,0.400999993,-0.007,0.40200001
311111,1963,17.1,89.8,11,23.9,52.1,1249.1,893.6,328.7,17.3,71.9,10.2,1478.1,696.5,781.6,0.275999993,0.131999999,0.178000003,0.119000003,0.026000001,0.412,0.026000001,0.412
311111,1964,16.6,90.8,10.6,23.5,52.2,1245.6,890.2,326.8,16.3,70.6,10.8,1539.4,730.7,808.7,0.268999994,0.131999999,0.180000007,0.116999999,0.02,0.419999987,0.02,0.421000004
311111,1965,16,90.8,10.2,22.7,51.8,1283.5,928.1,324.7,21.5,71.7,11.4,1575.5,756.1,819.3,0.275000006,0.138999999,0.184,0.115999997,0.012,0.425000012,0.012,0.425999999
311111,1966,16.1,96.1,10.2,22.6,53.9,1428.8,1049.9,344.8,20.1,79.5,12.1,1630.7,795.7,835,0.289999992,0.145999998,0.189999998,0.115999997,-0.007,0.421999991,-0.007,0.423000008
311111,1967,16.7,105,11,23.9,61.3,1544.1,1101.6,410,24.5,86.2,12.7,1668.2,818.8,849.4,0.291000009,0.141000003,0.196999997,0.112999998,0.007,0.425000012,0.007,0.425999999
311111,1968,16.6,109.6,10.9,23.5,64,1532.6,1070.9,426.6,29.2,82,13.4,1722.5,851.6,870.9,0.284999996,0.142000005,0.207000002,0.112000003,0.033,0.43900001,0.032000002,0.439999998
311111,1969,17.3,119.5,11.4,24.4,70.6,1638,1134,470.2,32.2,88.3,14.1,1795.2,900.8,894.4,0.289999992,0.150999993,0.216000006,0.112999998,0.043000001,0.458000004,0.043000001,0.458999991
311111,1970,17.9,130,12.1,25.3,79.8,1788.8,1243.2,515.1,35.9,98.5,14.8,1880.9,954.9,926,0.291000009,0.159999996,0.229000002,0.116999999,0.045000002,0.479999989,0.045000002,0.479999989
311111,1971,17,132.8,11.5,23.8,81.5,1870.5,1309.3,518,56.5,98.9,15.5,1972.5,1013.9,958.6,0.296000004,0.163000003,0.241999999,0.126000002,-0.004,0.477999985,-0.004,0.477999985
311111,1972,12.5,121.6,9.7,21.2,88.1,1260.4,682.9,572.8,55.3,78.4,11.9,2102.5,1111.3,991.2,0.301999986,0.174999997,0.250999987,0.135000005,0.041999999,0.497999996,0.041000001,0.497999996
311111,1973,13.7,143.6,10.7,24.1,103.7,1726.1,1041.1,685.4,65.3,129.3,14,2235.8,1214,1021.9,0.337000012,0.223000005,0.25999999,0.147,0.07,0.533999979,0.07,0.535000026
311111,1974,13.9,154.1,10.8,22.5,110.8,1869.3,1088.9,771.5,76.5,151.9,19.9,2420.8,1352.3,1068.5,0.400999993,0.25999999,0.289000005,0.192000002,-0.050000001,0.508000016,-0.050999999,0.508000016
311111,1975,14.3,172.1,10.9,23.2,123.5,2091.2,1183.5,882,57.4,149.1,24.9,2564.3,1476.6,1087.8,0.423000008,0.268999994,0.333999991,0.230000004,0.007,0.510999978,0.007,0.510999978
311111,1976,14.4,191.5,10.9,23.4,134.5,2405.5,1318.8,1061.2,33,156.6,30,2613.6,1504.9,1108.7,0.423000008,0.27700001,0.356999993,0.273999989,0.088,0.558000028,0.088,0.558000028
311111,1977,15.5,220.9,11.8,24.5,155.8,2775.1,1458.8,1299.9,60.8,174,34.3,2624,1518.5,1105.5,0.453000009,0.289999992,0.386999995,0.317999989,0.039000001,0.579999983,0.039000001,0.579999983
311111,1978,16.3,246.1,12.5,26.3,172.8,2968.3,1499.6,1452.5,86,182.9,38.1,2639.7,1528.5,1111.3,0.465999991,0.307999998,0.419999987,0.34799999,0.050000001,0.610000014,0.050000001,0.610000014
311111,1979,16.3,261,12.1,24.9,175.5,2903.9,1573.1,1303.7,69.6,198.7,40.1,2685.8,1568.3,1117.5,0.483999997,0.345999986,0.460000008,0.409000009,-0.030999999,0.592000008,-0.030999999,0.592000008
311111,1980,16.7,282.2,12.1,24.2,188.9,3288.7,1646.5,1626.4,78.7,230,46.4,2717.7,1592.8,1124.9,0.5,0.370999992,0.508000016,0.508000016,0.100000001,0.653999984,0.100000001,0.653999984
311111,1981,15.2,283.6,10.7,22.1,187.7,3416.1,1655.2,1741,67.1,208,47.4,2774.1,1648.6,1125.5,0.529999971,0.395000011,0.558000028,0.550999999,0.004,0.657000005,0.004,0.657000005
