naics,naics_title,short_title,short_label,full_label,match_level,year,cap,plant,equip,invest,cap_labor_ratio,emp,prode,non_prod_workers,pay,prodh,prodw,matcost,robots_adopted,robotics_productivity_gain,robotics_cost_savings,jobs_displaced,training_hours,manuf_export_share,gdp_per_capita,inflation,real_gdp,labor_productivity,revenue_per_worker
311111,Dog and Cat Food Manufacturing,Dog & Cat Food Mfg,311111 | Dog & Cat Food Mfg,311111 - Dog and Cat Food Manufacturing,exact,2015,5649.8,1400.9,4248.9,584.0,342.41212121212124,16.5,12.5,4.0,1008.6,29.7,740.0,12361.5,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,626.4,1370.0484848484848
311111,Dog and Cat Food Manufacturing,Dog & Cat Food Mfg,311111 | Dog & Cat Food Mfg,311111 - Dog and Cat Food Manufacturing,exact,2016,5895.5,1454.5,4441.0,764.2,329.35754189944134,17.9,13.9,3.9999999999999982,1069.7,31.3,779.0,12392.1,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,616.1675977653632,1307.826815642458
311119,Other Animal Food Manufacturing,Other Animal Food Mfg,311119 | Other Animal Food Mfg,311119 - Other Animal Food Manufacturing,exact,2015,7273.4,2695.5,4578.0,576.6,268.3911439114391,27.1,17.9,9.200000000000003,1394.3,36.9,794.8,27451.2,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,267.90036900369006,1281.2656826568266
311119,Other Animal Food Manufacturing,Other Animal Food Mfg,311119 | Other Animal Food Mfg,311119 - Other Animal Food Manufacturing,exact,2016,7412.6,2730.6,4681.9,610.5,262.8581560283688,28.2,18.9,9.3,1446.7,38.4,842.1,25791.5,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,260.790780141844,1174.2021276595744
311211,Flour Milling,Flour Milling,311211 | Flour Milling,311211 - Flour Milling,exact,2015,4257.3,1499.3,2758.0,221.5,363.8717948717949,11.7,8.1,3.5999999999999996,657.6,18.4,419.2,9633.6,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,400.47863247863256,1226.0854700854702
311211,Flour Milling,Flour Milling,311211 | Flour Milling,311211 - Flour Milling,exact,2016,4256.0,1497.5,2758.4,290.1,348.8524590163935,12.2,8.5,3.6999999999999993,696.0,19.5,441.2,8224.1,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,360.1639344262295,1033.3196721311476
311212,Rice Milling,Rice Milling,311212 | Rice Milling,311212 - Rice Milling,exact,2015,1166.6,362.3,804.3,83.2,248.21276595744678,4.7,3.6,1.1,234.6,8.4,155.7,2420.5,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,281.74468085106383,795.0851063829787
311212,Rice Milling,Rice Milling,311212 | Rice Milling,311212 - Rice Milling,exact,2016,1187.8,359.8,828.0,70.7,224.11320754716982,5.3,4.0,1.2999999999999998,247.3,8.4,159.7,2371.1,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,216.43396226415092,667.9056603773586
311213,Malt Manufacturing,Malt Mfg,311213 | Malt Mfg,311213 - Malt Manufacturing,exact,2015,633.6,240.1,393.5,48.9,576.0,1.1,0.7,0.40000000000000013,71.0,1.4,40.5,1043.8,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,471.18181818181813,1387.3636363636363
311213,Malt Manufacturing,Malt Mfg,311213 | Malt Mfg,311213 - Malt Manufacturing,exact,2016,648.9,236.1,412.7,38.3,721.0,0.9,0.6,0.30000000000000004,66.2,1.3,40.8,1012.7,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,589.1111111111112,1685.2222222222222
311221,Wet Corn Milling and Starch Manufacturing,Wet Corn Milling & Starch Mfg,311221 | Wet Corn Milling & Starch Mfg,311221 - Wet Corn Milling and Starch Manufacturing,exact,2015,7843.2,2193.2,5650.0,268.1,1120.4571428571428,7.0,4.2,2.8,495.2,9.1,303.0,6598.6,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,558.3857142857142,1497.0857142857144
