naics,year,cap,plant,equip,invest,cap_labor_ratio,emp,prode,non_prod_workers,pay,prodh,prodw,matcost
311111,2024,5895.5,1454.5,4441.0,764.2,329.35754189944134,17.9,13.9,3.9999999999999982,1069.7,31.3,779.0,12392.1
311111,2025,5895.5,1454.5,4441.0,764.2,329.35754189944134,17.9,13.9,3.9999999999999982,1069.7,31.3,779.0,12392.1
311111,2026,5895.5,1454.5,4441.0,764.2,329.35754189944134,17.9,13.9,3.9999999999999982,1069.7,31.3,779.0,12392.1
311111,2027,5895.5,1454.5,4441.0,764.2,329.35754189944134,17.9,13.9,3.9999999999999982,1069.7,31.3,779.0,12392.1
311119,2024,7412.6,2730.6,4681.9,610.5,262.8581560283688,28.2,18.9,9.3,1446.7,38.4,842.1,25791.5
311119,2025,7412.6,2730.6,4681.9,610.5,262.8581560283688,28.2,18.9,9.3,1446.7,38.4,842.1,25791.5
311119,2026,7412.6,2730.6,4681.9,610.5,262.8581560283688,28.2,18.9,9.3,1446.7,38.4,842.1,25791.5
311119,2027,7412.6,2730.6,4681.9,610.5,262.8581560283688,28.2,18.9,9.3,1446.7,38.4,842.1,25791.5
311211,2024,4256.0,1497.5,2758.4,290.1,348.8524590163935,12.2,8.5,3.6999999999999993,696.0,19.5,441.2,8224.1
311211,2025,4256.0,1497.5,2758.4,290.1,348.8524590163935,12.2,8.5,3.6999999999999993,696.0,19.5,441.2,8224.1
311211,2026,4256.0,1497.5,2758.4,290.1,348.8524590163935,12.2,8.5,3.6999999999999993,696.0,19.5,441.2,8224.1
311211,2027,4256.0,1497.5,2758.4,290.1,348.8524590163935,12.2,8.5,3.6999999999999993,696.0,19.5,441.2,8224.1
311212,2024,1187.8,359.8,828.0,70.7,224.11320754716982,5.3,4.0,1.2999999999999998,247.3,8.4,159.7,2371.1
311212,2025,1187.8,359.8,828.0,70.7,224.11320754716982,5.3,4.0,1.2999999999999998,247.3,8.4,159.7,2371.1
311212,2026,1187.8,359.8,828.0,70.7,224.11320754716982,5.3,4.0,1.2999999999999998,247.3,8.4,159.7,2371.1
311212,2027,1187.8,359.8,828.0,70.7,224.11320754716982,5.3,4.0,1.2999999999999998,247.3,8.4,159.7,2371.1
311213,2024,648.9,236.1,412.7,38.3,721.0,0.9,0.6,0.30000000000000004,66.2,1.3,40.8,1012.7
311213,2025,648.9,236.1,412.7,38.3,721.0,0.9,0.6,0.30000000000000004,66.2,1.3,40.8,1012.7
311213,2026,648.9,236.1,412.7,38.3,721.0,0.9,0.6,0.30000000000000004,66.2,1.3,40.8,1012.7
311213,2027,648.9,236.1,412.7,38.3,721.0,0.9,0.6,0.30000000000000004,66.2,1.3,40.8,1012.7
311221,2024,7621.0,2166.7,5454.3,218.5,1104.4927536231883,6.9,4.0,2.9000000000000004,496.7,8.9,295.7,6376.3
311221,2025,7621.0,2166.7,5454.3,218.5,1104.4927536231883,6.9,4.0,2.9000000000000004,496.7,8.9,295.7,6376.3
311221,2026,7621.0,2166.7,5454.3,218.5,1104.4927536231883,6.9,4.0,2.9000000000000004,496.7,8.9,295.7,6376.3
311221,2027,7621.0,2166.7,5454.3,218.5,1104.4927536231883,6.9,4.0,2.9000000000000004,496.7,8.9,295.7,6376.3
311224,2024,4800.5,1513.0,3287.5,357.4,578.3734939759036,8.3,6.1,2.200000000000001,510.0,13.1,324.8,30532.0
311224,2025,4800.5,1513.0,3287.5,357.4,578.3734939759036,8.3,6.1,2.200000000000001,510.0,13.1,324.8,30532.0
311224,2026,4800.5,1513.0,3287.5,357.4,578.3734939759036,8.3,6.1,2.200000000000001,510.0,13.1,324.8,30532.0
311224,2027,4800.5,1513.0,3287.5,357.4,578.3734939759036,8.3,6.1,2.200000000000001,510.0,13.1,324.8,30532.0
311225,2024,2937.0,975.0,1961.9,153.2,396.8918918918919,7.4,5.3,2.1000000000000005,451.2,12.0,275.8,8859.9
311225,2025,2937.0,975.0,1961.9,153.2,396.8918918918919,7.4,5.3,2.1000000000000005,451.2,12.0,275.8,8859.9
311225,2026,2937.0,975.0,1961.9,153.2,396.8918918918919,7.4,5.3,2.1000000000000005,451.2,12.0,275.8,8859.9
311225,2027,2937.0,975.0,1961.9,153.2,396.8918918918919,7.4,5.3,2.1000000000000005,451.2,12.0,275.8,8859.9
311230,2024,5471.8,1671.3,3800.5,156.3,467.67521367521374,11.7,9.8,1.8999999999999986,759.2,20.3,602.3,5506.6
