naics,naics_title,short_title,short_label,full_label,match_level,avg_baseline_productivity,avg_scenario_productivity,avg_baseline_revenue,avg_scenario_revenue,prod_change,prod_pct_change,revenue_change,revenue_pct_change
311111,Dog and Cat Food Manufacturing,Dog & Cat Food Mfg,311111 | Dog & Cat Food Mfg,311111 - Dog and Cat Food Manufacturing,exact,389.16812,389.16812,909.93054,909.93054,0.0,0.0,0.0,0.0
311119,Other Animal Food Manufacturing,Other Animal Food Mfg,311119 | Other Animal Food Mfg,311119 - Other Animal Food Manufacturing,exact,289.20374,289.20374,1224.9469,1224.9469,0.0,0.0,0.0,0.0
311211,Flour Milling,Flour Milling,311211 | Flour Milling,311211 - Flour Milling,exact,425.77097,425.77097,1202.2986,1202.2986,0.0,0.0,0.0,0.0
311212,Rice Milling,Rice Milling,311212 | Rice Milling,311212 - Rice Milling,exact,214.9466,214.9466,679.0772,679.0772,0.0,0.0,0.0,0.0
311213,Malt Manufacturing,Malt Mfg,311213 | Malt Mfg,311213 - Malt Manufacturing,exact,503.57788,503.57788,1490.4387,1490.4387,0.0,0.0,0.0,0.0
311221,Wet Corn Milling and Starch Manufacturing,Wet Corn Milling & Starch Mfg,311221 | Wet Corn Milling & Starch Mfg,311221 - Wet Corn Milling and Starch Manufacturing,exact,1271.6104,1271.6104,1588.1353,1588.1353,0.0,0.0,0.0,0.0
311224,Soybean and Other Oilseed Processing,Soybean & Other Oilseed Proc,311224 | Soybean & Other Oilseed Proc,311224 - Soybean and Other Oilseed Processing,exact,968.7426,968.7426,4637.0435,4637.0435,0.0,0.0,0.0,0.0
311225,Fats and Oils Refining and Blending,Fats & Oils Refining & Blending,311225 | Fats & Oils Refining & Blending,311225 - Fats and Oils Refining and Blending,exact,383.40552,383.40552,1604.8752,1604.8752,0.0,0.0,0.0,0.0
311230,Breakfast Cereal Manufacturing,Breakfast Cereal Mfg,311230 | Breakfast Cereal Mfg,311230 - Breakfast Cereal Manufacturing,exact,327.82275,327.82275,819.63086,819.63086,0.0,0.0,0.0,0.0
311313,Beet Sugar Manufacturing,Beet Sugar Mfg,311313 | Beet Sugar Mfg,311313 - Beet Sugar Manufacturing,exact,199.59966,199.59966,526.7899,526.7899,0.0,0.0,0.0,0.0
311314,Cane Sugar Manufacturing,Cane Sugar Mfg,311314 | Cane Sugar Mfg,311314 - Cane Sugar Manufacturing,exact,289.49393,289.49393,858.6809,858.6809,0.0,0.0,0.0,0.0
