naics,year,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4,cap_labor_ratio,non_prod_workers,labor_productivity,revenue_per_worker,naics_title,match_level,short_title,short_label,full_label,Industry,robots_adopted,robotics_productivity_gain,robotics_cost_savings,jobs_displaced,training_hours,manuf_export_share,gdp_per_capita,inflation,real_gdp
311111,2015,16.5,1008.6,12.5,29.7,740.0,22605.8,12361.5,10335.6,584.0,1027.2,200.5,5649.8,4248.9,1400.9,1.069000006,0.893999994,1.018000007,1.001000047,-0.071999997,0.888000011,-0.071999997,0.888000011,342.41212121212124,4.0,626.4,1370.0484848484848,Dog and Cat Food Manufacturing,exact,Dog & Cat Food Mfg,311111 | Dog & Cat Food Mfg,311111 - Dog and Cat Food Manufacturing,Manufacturing,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6
311111,2016,17.9,1069.7,13.9,31.3,779.0,23410.1,12392.1,11029.4,764.2,1082.9,170.9,5895.5,4441.0,1454.5,1.088999987,0.859000027,1.018000007,0.980000019,-0.026000001,0.86500001,-0.026000001,0.86500001,329.35754189944134,3.9999999999999982,616.1675977653632,1307.826815642458,Dog and Cat Food Manufacturing,exact,Dog & Cat Food Mfg,311111 | Dog & Cat Food Mfg,311111 - Dog and Cat Food Manufacturing,Manufacturing,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68
311111,2017,22.3,1345.0,18.0,39.0,1011.8,23202.7,12600.5,10682.8,334.6,1238.6,177.0,,,,1.088000059,0.874000013,,1.082999945,,,,,,4.300000000000001,479.04932735426,1040.4798206278026,Dog and Cat Food Manufacturing,exact,Dog & Cat Food Mfg,311111 | Dog & Cat Food Mfg,311111 - Dog and Cat Food Manufacturing,Manufacturing,343,8.69,170.9,812,159,61.3709365092424,60292.98,2.178,19612.1
311111,2018,24.0,1476.8,19.4,43.8,1003.0,22871.5,13430.4,9406.9,,1239.2,201.3,,,,1.10800004,0.887000024,,1.101999998,,,,,,4.600000000000001,391.95416666666665,952.9791666666666,Dog and Cat Food Manufacturing,exact,Dog & Cat Food Mfg,311111 | Dog & Cat Food Mfg,311111 - Dog and Cat Food Manufacturing,Manufacturing,286,15.71,121.3,935,342,58.9112087207058,63165.28,1.921,20193.93
311119,2015,27.1,1394.3,17.9,36.9,794.8,34722.3,27451.2,7260.1,576.6,2157.8,346.8,7273.4,4578.0,2695.5,0.825999975,0.762000024,1.036000013,0.963999987,0.021,0.986999989,0.021,0.986999989,268.3911439114391,9.200000000000003,267.90036900369006,1281.2656826568266,Other Animal Food Manufacturing,exact,Other Animal Food Mfg,311119 | Other Animal Food Mfg,311119 - Other Animal Food Manufacturing,Manufacturing,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6
311119,2016,28.2,1446.7,18.9,38.4,842.1,33112.5,25791.5,7354.3,610.5,2129.3,335.6,7412.6,4681.9,2730.6,0.791000009,0.731000006,1.034000039,0.944999993,0.009,0.995000005,0.009,0.995000005,262.8581560283688,9.3,260.790780141844,1174.2021276595744,Other Animal Food Manufacturing,exact,Other Animal Food Mfg,311119 | Other Animal Food Mfg,311119 - Other Animal Food Manufacturing,Manufacturing,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68
311119,2017,27.9,1477.3,18.6,37.4,835.7,31930.3,24837.1,7055.4,587.0,2335.5,338.8,,,,0.777999997,0.735000014,,1.046000004,,,,,,9.299999999999997,252.88172043010752,1144.4551971326166,Other Animal Food Manufacturing,exact,Other Animal Food Mfg,311119 | Other Animal Food Mfg,311119 - Other Animal Food Manufacturing,Manufacturing,343,8.69,170.9,812,159,61.3709365092424,60292.98,2.178,19612.1
311119,2018,27.7,1508.6,18.4,34.4,913.7,33321.0,25389.2,7823.0,,2432.7,391.8,,,,0.813000023,0.748000026,,1.065999985,,,,,,9.3,282.4187725631769,1202.9241877256318,Other Animal Food Manufacturing,exact,Other Animal Food Mfg,311119 | Other Animal Food Mfg,311119 - Other Animal Food Manufacturing,Manufacturing,286,15.71,121.3,935,342,58.9112087207058,63165.28,1.921,20193.93
311211,2015,11.7,657.6,8.1,18.4,419.2,14345.2,9633.6,4685.6,221.5,1049.6,208.3,4257.3,2758.0,1499.3,0.876999974,0.614000022,1.021000028,0.973999977,-0.035,0.81400001,-0.035,0.813000023,363.8717948717949,3.5999999999999996,400.47863247863256,1226.0854700854702,Flour Milling,exact,Flour Milling,311211 | Flour Milling,311211 - Flour Milling,Manufacturing,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6
311211,2016,12.2,696.0,8.5,19.5,441.2,12606.5,8224.1,4394.0,290.1,996.9,190.1,4256.0,2758.4,1497.5,0.813000023,0.561999977,1.019000053,0.977999985,-0.009,0.805999994,-0.009,0.805000007,348.8524590163935,3.6999999999999993,360.1639344262295,1033.3196721311476,Flour Milling,exact,Flour Milling,311211 | Flour Milling,311211 - Flour Milling,Manufacturing,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68
311211,2017,13.1,735.7,9.9,20.6,503.9,11591.0,7919.9,3708.4,249.6,952.4,195.9,,,,0.819999993,0.560000002,,1.085000038,,,,,,3.1999999999999993,283.08396946564886,884.8091603053435,Flour Milling,exact,Flour Milling,311211 | Flour Milling,311211 - Flour Milling,Manufacturing,343,8.69,170.9,812,159,61.3709365092424,60292.98,2.178,19612.1
