naics,naics_title,match_level,short_title,short_label,full_label
311111,Dog and Cat Food Manufacturing,exact,Dog & Cat Food Mfg,311111 | Dog & Cat Food Mfg,311111 - Dog and Cat Food Manufacturing
311119,Other Animal Food Manufacturing,exact,Other Animal Food Mfg,311119 | Other Animal Food Mfg,311119 - Other Animal Food Manufacturing
311211,Flour Milling,exact,Flour Milling,311211 | Flour Milling,311211 - Flour Milling
311212,Rice Milling,exact,Rice Milling,311212 | Rice Milling,311212 - Rice Milling
311213,Malt Manufacturing,exact,Malt Mfg,311213 | Malt Mfg,311213 - Malt Manufacturing
311221,Wet Corn Milling and Starch Manufacturing,exact,Wet Corn Milling & Starch Mfg,311221 | Wet Corn Milling & Starch Mfg,311221 - Wet Corn Milling and Starch Manufacturing
311224,Soybean and Other Oilseed Processing,exact,Soybean & Other Oilseed Proc,311224 | Soybean & Other Oilseed Proc,311224 - Soybean and Other Oilseed Processing
311225,Fats and Oils Refining and Blending,exact,Fats & Oils Refining & Blending,311225 | Fats & Oils Refining & Blending,311225 - Fats and Oils Refining and Blending
311230,Breakfast Cereal Manufacturing,exact,Breakfast Cereal Mfg,311230 | Breakfast Cereal Mfg,311230 - Breakfast Cereal Manufacturing
311313,Beet Sugar Manufacturing,exact,Beet Sugar Mfg,311313 | Beet Sugar Mfg,311313 - Beet Sugar Manufacturing
311314,Cane Sugar Manufacturing,exact,Cane Sugar Mfg,311314 | Cane Sugar Mfg,311314 - Cane Sugar Manufacturing
311340,Nonchocolate Confectionery Manufacturing,exact,Nonchocolate Confectionery Mfg,311340 | Nonchocolate Confectionery Mfg,311340 - Nonchocolate Confectionery Manufacturing
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,exact,Chocolate & Confectionery Mfg from Ca...,311351 | Chocolate & Confectionery Mfg from Ca...,311351 - Chocolate and Confectionery Manufacturing from Cacao Beans
311352,Confectionery Manufacturing from Purchased Chocolate,exact,Confectionery Mfg from Purchased Choc...,311352 | Confectionery Mfg from Purchased Choc...,311352 - Confectionery Manufacturing from Purchased Chocolate
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",exact,"Frozen Fruit, Juice, & Vegetable Mfg","311411 | Frozen Fruit, Juice, & Vegetable Mfg","311411 - Frozen Fruit, Juice, and Vegetable Manufacturing"
311412,Frozen Specialty Food Manufacturing,exact,Frozen Specialty Food Mfg,311412 | Frozen Specialty Food Mfg,311412 - Frozen Specialty Food Manufacturing
311421,Fruit and Vegetable Canning,exact,Fruit & Vegetable Canning,311421 | Fruit & Vegetable Canning,311421 - Fruit and Vegetable Canning
311422,Specialty Canning,exact,Specialty Canning,311422 | Specialty Canning,311422 - Specialty Canning
311423,Dried and Dehydrated Food Manufacturing,exact,Dried & Dehydrated Food Mfg,311423 | Dried & Dehydrated Food Mfg,311423 - Dried and Dehydrated Food Manufacturing
311511,Fluid Milk Manufacturing,exact,Fluid Milk Mfg,311511 | Fluid Milk Mfg,311511 - Fluid Milk Manufacturing
311512,Creamery Butter Manufacturing,exact,Creamery Butter Mfg,311512 | Creamery Butter Mfg,311512 - Creamery Butter Manufacturing
311513,Cheese Manufacturing,exact,Cheese Mfg,311513 | Cheese Mfg,311513 - Cheese Manufacturing
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",exact,"Dry, Condensed, & Evaporated Dairy Pr...","311514 | Dry, Condensed, & Evaporated Dairy Pr...","311514 - Dry, Condensed, and Evaporated Dairy Product Manufacturing"
311520,Ice Cream and Frozen Dessert Manufacturing,exact,Ice Cream & Frozen Dessert Mfg,311520 | Ice Cream & Frozen Dessert Mfg,311520 - Ice Cream and Frozen Dessert Manufacturing
311611,Animal (except Poultry) Slaughtering,exact,Animal (except Poultry) Slaughtering,311611 | Animal (except Poultry) Slaughtering,311611 - Animal (except Poultry) Slaughtering
311612,Meat Processed from Carcasses,exact,Meat Processed from Carcasses,311612 | Meat Processed from Carcasses,311612 - Meat Processed from Carcasses
311613,Rendering and Meat Byproduct Processing,exact,Rendering & Meat Byproduct Proc,311613 | Rendering & Meat Byproduct Proc,311613 - Rendering and Meat Byproduct Processing
311615,Poultry Processing,exact,Poultry Proc,311615 | Poultry Proc,311615 - Poultry Processing
311710,Seafood Product Preparation and Packaging,exact,Seafood Prod Prep & Pkg,311710 | Seafood Prod Prep & Pkg,311710 - Seafood Product Preparation and Packaging
311811,Retail Bakeries,exact,Retail Bakeries,311811 | Retail Bakeries,311811 - Retail Bakeries
311812,Commercial Bakeries,exact,Commercial Bakeries,311812 | Commercial Bakeries,311812 - Commercial Bakeries
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",exact,"Frozen Cakes, Pies, & Other Pastries Mfg","311813 | Frozen Cakes, Pies, & Other Pastries Mfg","311813 - Frozen Cakes, Pies, and Other Pastries Manufacturing"
311821,Cookie and Cracker Manufacturing,exact,Cookie & Cracker Mfg,311821 | Cookie & Cracker Mfg,311821 - Cookie and Cracker Manufacturing
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",exact,"Dry Pasta, Dough, & Flour Mixes Mfg f...","311824 | Dry Pasta, Dough, & Flour Mixes Mfg f...","311824 - Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
311830,Tortilla Manufacturing,exact,Tortilla Mfg,311830 | Tortilla Mfg,311830 - Tortilla Manufacturing
311911,Roasted Nuts and Peanut Butter Manufacturing,exact,Roasted Nuts & Peanut Butter Mfg,311911 | Roasted Nuts & Peanut Butter Mfg,311911 - Roasted Nuts and Peanut Butter Manufacturing
311919,Other Snack Food Manufacturing,exact,Other Snack Food Mfg,311919 | Other Snack Food Mfg,311919 - Other Snack Food Manufacturing
311920,Coffee and Tea Manufacturing,exact,Coffee & Tea Mfg,311920 | Coffee & Tea Mfg,311920 - Coffee and Tea Manufacturing
311930,Flavoring Syrup and Concentrate Manufacturing,exact,Flavoring Syrup & Concentrate Mfg,311930 | Flavoring Syrup & Concentrate Mfg,311930 - Flavoring Syrup and Concentrate Manufacturing
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",exact,"Mayonnaise, Dressing, & Other Prepare...","311941 | Mayonnaise, Dressing, & Other Prepare...","311941 - Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing"
311942,Spice and Extract Manufacturing,exact,Spice & Extract Mfg,311942 | Spice & Extract Mfg,311942 - Spice and Extract Manufacturing
311991,Perishable Prepared Food Manufacturing,exact,Perishable Prepared Food Mfg,311991 | Perishable Prepared Food Mfg,311991 - Perishable Prepared Food Manufacturing
311999,All Other Miscellaneous Food Manufacturing,exact,All Other Misc Food Mfg,311999 | All Other Misc Food Mfg,311999 - All Other Miscellaneous Food Manufacturing
312111,Soft Drink Manufacturing,exact,Soft Drink Mfg,312111 | Soft Drink Mfg,312111 - Soft Drink Manufacturing
312112,Bottled Water Manufacturing,exact,Bottled Water Mfg,312112 | Bottled Water Mfg,312112 - Bottled Water Manufacturing
312113,Ice Manufacturing,exact,Ice Mfg,312113 | Ice Mfg,312113 - Ice Manufacturing
312120,Breweries,exact,Breweries,312120 | Breweries,312120 - Breweries
312130,Wineries,exact,Wineries,312130 | Wineries,312130 - Wineries
312140,Distilleries,exact,Distilleries,312140 | Distilleries,312140 - Distilleries
312230,Tobacco Manufacturing,exact,Tobacco Mfg,312230 | Tobacco Mfg,312230 - Tobacco Manufacturing
313110,"Fiber, Yarn, and Thread Mills",exact,"Fiber, Yarn, & Thread Mills","313110 | Fiber, Yarn, & Thread Mills","313110 - Fiber, Yarn, and Thread Mills"
