naics,naics_title,short_title,short_label,full_label,match_level,avg_future_productivity,avg_future_revenue,avg_future_jobs_displaced,lgbm_avg_future_productivity,lgbm_avg_future_revenue,lgbm_avg_future_jobs_displaced
325110,Petrochemical Manufacturing,Petrochemical Mfg,325110 | Petrochemical Mfg,325110 - Petrochemical Manufacturing,exact,2914.4822,5420.3584,365.9991,1917.8284947756267,4272.967743009497,365.9991791558108
332613,Spring Manufacturing,Spring Mfg,332613 | Spring Mfg,332613 - Spring Manufacturing,exact,155.0156,281.60135,365.9991,201.89179603249158,293.23428021513314,365.9991791558108
332991,Ball and Roller Bearing Manufacturing,Ball & Roller Bearing Mfg,332991 | Ball & Roller Bearing Mfg,332991 - Ball and Roller Bearing Manufacturing,exact,155.18765,277.80966,365.9991,220.9856877477087,284.03977442624165,365.9991791558108
335313,Switchgear and Switchboard Apparatus Manufacturing,Switchgear & Switchboard Apparatus Mfg,335313 | Switchgear & Switchboard Apparatus Mfg,335313 - Switchgear and Switchboard Apparatus Manufacturing,exact,155.2614,346.7532,365.9991,138.14018710631763,322.43478204809577,365.9991791558108
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",Instruments & Related Prod Mfg for Me...,334513 | Instruments & Related Prod Mfg for Me...,"334513 - Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",exact,155.9471,270.5516,365.9991,135.57887859937392,277.1632075557771,365.9991791558108
335312,Motor and Generator Manufacturing,Motor & Generator Mfg,335312 | Motor & Generator Mfg,335312 - Motor and Generator Manufacturing,exact,156.67506,365.28616,365.9991,148.5978741918764,367.1390493911054,365.9991791558108
335121,Electric Lighting Equipment ManufacturingT,Electric Lighting Equip MfgT,335121 | Electric Lighting Equip MfgT,335121 - Electric Lighting Equipment ManufacturingT,prefix_4_digit,157.261,264.01575,365.9991,149.90236072563206,211.68897071910735,365.9991791558108
331512,Steel Investment Foundries,Steel Investment Foundries,331512 | Steel Investment Foundries,331512 - Steel Investment Foundries,exact,157.8554,289.9696,365.9991,158.20640687392603,286.32960304503587,365.9991791558108
333517,Machine Tool Manufacturing,Machine Tool Mfg,333517 | Machine Tool Mfg,333517 - Machine Tool Manufacturing,exact,158.92987,278.85855,365.9991,152.62278409664268,302.5790778394005,365.9991791558108
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing","Bolt, Nut, Screw, Rivet, & Washer Mfg","332722 | Bolt, Nut, Screw, Rivet, & Washer Mfg","332722 - Bolt, Nut, Screw, Rivet, and Washer Manufacturing",exact,159.64682,292.1038,365.9991,183.6550629490534,312.1733720418798,365.9991791558108
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,Motor Vehicle Steering & Suspension C...,336330 | Motor Vehicle Steering & Suspension C...,336330 - Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,exact,159.77933,396.69037,365.9991,155.5075452701206,463.23999106003123,365.9991791558108
333249,Industrial Machinery ManufacturingT,Industrial Mach MfgT,333249 | Industrial Mach MfgT,333249 - Industrial Machinery ManufacturingT,prefix_5_digit,159.96394,299.2744,365.9991,125.9220259690392,302.2582494747251,365.9991791558108
339940,Office Supplies (except Paper) Manufacturing,Office Supp (except Paper) Mfg,339940 | Office Supp (except Paper) Mfg,339940 - Office Supplies (except Paper) Manufacturing,exact,160.12108,302.8784,365.9991,151.8189632723274,310.7176197400304,365.9991791558108
321213,"Veneer, Plywood, and Engineered Wood Product ManufacturingT","Veneer, Plywood, & Engineered Wood Pr...","321213 | Veneer, Plywood, & Engineered Wood Pr...","321213 - Veneer, Plywood, and Engineered Wood Product ManufacturingT",prefix_5_digit,160.17824,492.0113,365.9991,157.85692449603613,540.1485185116795,365.9991791558108
322219,Other Paperboard Container Manufacturing,Other Paperbd Container Mfg,322219 | Other Paperbd Container Mfg,322219 - Other Paperboard Container Manufacturing,exact,160.47618,358.78384,365.9991,226.04224136432617,361.59032879209514,365.9991791558108
