naics,naics_title,short_title,short_label,full_label,match_level,avg_future_productivity,avg_future_revenue,avg_future_jobs_displaced,lgbm_avg_future_productivity,lgbm_avg_future_revenue,lgbm_avg_future_jobs_displaced
325110,Petrochemical Manufacturing,Petrochemical Mfg,325110 | Petrochemical Mfg,325110 - Petrochemical Manufacturing,exact,2912.421,5442.865,342.56433,1917.8284947756267,4272.967743009497,363.3701688862322
312230,Tobacco Manufacturing,Tobacco Mfg,312230 | Tobacco Mfg,312230 - Tobacco Manufacturing,exact,2546.8945,3117.6833,342.56433,1898.0559499844817,2466.4058468957523,363.3701688862322
324110,Petroleum Refineries,Petroleum Refineries,324110 | Petroleum Refineries,324110 - Petroleum Refineries,exact,1064.7095,6016.7144,342.56433,1003.3954962536574,4397.296173021952,363.3701688862322
311930,Flavoring Syrup and Concentrate Manufacturing,Flavoring Syrup & Concentrate Mfg,311930 | Flavoring Syrup & Concentrate Mfg,311930 - Flavoring Syrup and Concentrate Manufacturing,exact,1025.4512,1323.7865,342.56433,739.6269629956658,1079.553345912128,363.3701688862322
311224,Soybean and Other Oilseed Processing,Soybean & Other Oilseed Proc,311224 | Soybean & Other Oilseed Proc,311224 - Soybean and Other Oilseed Processing,exact,1007.7212,4645.8154,342.56433,1019.8315364164594,3901.1547941955896,363.3701688862322
312140,Distilleries,Distilleries,312140 | Distilleries,312140 - Distilleries,exact,866.9547,1257.499,342.56433,628.7062630352125,1100.012226991977,363.3701688862322
325311,Nitrogenous Fertilizer Manufacturing,Nitrogenous Fertilizer Mfg,325311 | Nitrogenous Fertilizer Mfg,325311 - Nitrogenous Fertilizer Manufacturing,exact,789.5798,1184.2589,342.56433,880.1375363302501,1389.4291562187675,363.3701688862322
325412,Pharmaceutical Preparation Manufacturing,Pharma Prep Mfg,325412 | Pharma Prep Mfg,325412 - Pharmaceutical Preparation Manufacturing,exact,712.5127,1017.56726,342.56433,598.6741796796944,1002.9384028896088,363.3701688862322
325611,Soap and Other Detergent Manufacturing,Soap & Other Detergent Mfg,325611 | Soap & Other Detergent Mfg,325611 - Soap and Other Detergent Manufacturing,exact,672.4699,962.33636,342.56433,603.5617783356812,808.0774460280884,363.3701688862322
325193,Ethyl Alcohol Manufacturing,Ethyl Alcohol Mfg,325193 | Ethyl Alcohol Mfg,325193 - Ethyl Alcohol Manufacturing,exact,662.3438,2794.9375,342.56433,823.9989404696439,3227.1652534007108,363.3701688862322
311221,Wet Corn Milling and Starch Manufacturing,Wet Corn Milling & Starch Mfg,311221 | Wet Corn Milling & Starch Mfg,311221 - Wet Corn Milling and Starch Manufacturing,exact,655.3956,1278.3103,342.56433,515.627831497349,1222.7985345424902,363.3701688862322
325320,Pesticide and Other Agricultural Chemical Manufacturing,Pesticide & Other Agricultural Chem Mfg,325320 | Pesticide & Other Agricultural Chem Mfg,325320 - Pesticide and Other Agricultural Chemical Manufacturing,exact,620.5561,1377.1403,342.56433,623.3555389517473,1516.3345156240875,363.3701688862322
325613,Surface Active Agent Manufacturing,Surface Active Agent Mfg,325613 | Surface Active Agent Mfg,325613 - Surface Active Agent Manufacturing,exact,598.5303,1197.3915,342.56433,512.7685768517633,992.6120837763142,363.3701688862322
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","Secondary Smelting, Refining, & Alloy...","331492 | Secondary Smelting, Refining, & Alloy...","331492 - Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",exact,578.96234,1147.0232,342.56433,548.9694529351644,1172.612291655781,363.3701688862322
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing","Cyclic Crude, Intermediate, & Gum & W...","325194 | Cyclic Crude, Intermediate, & Gum & W...","325194 - Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",exact,561.38617,1188.5161,342.56433,568.9537441055306,982.8454698658807,363.3701688862322
